;Unnamed: 0;country;description;designation;points;price;province;region_1;region_2;variety;winery;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;Id
11;11;US;From 18-year-old vines, this supple well-balanced effort blends flavors of mocha, cherry, vanilla and breakfast tea. Superbly integrated and delicious even at this early stage, this wine seems destined for a long and savory cellar life. Drink now through 2028.;Estate Vineyard Wadensvil Block;95;48.0;Oregon;Ribbon Ridge;Willamette Valley;Pinot Noir;Patricia Green Cellars;7.8;0.61;0.29;1.6;0.114;9.0;29.0;0.9974;3.26;1.56;9.1;5;13
12;12;US;A standout even in this terrific lineup of 2015 releases from Patricia Green, the Weber opens with a burst of cola and tobacco scents and accents. It continues, subtle and detailed, with flavors of oranges, vanilla, tea and milk chocolate discreetly threaded through ripe blackberry fruit.;Weber Vineyard;95;48.0;Oregon;Dundee Hills;Willamette Valley;Pinot Noir;Patricia Green Cellars;8.5;0.28;0.56;1.8;0.092;35.0;103.0;0.9969;3.3;0.75;10.5;7;16
13;13;France;This wine is in peak condition. The tannins and the secondary flavors dominate this ripe leather-textured wine. The fruit is all there as well: dried berries and hints of black-plum skins. It is a major wine right at the point of drinking with both the mature flavors and the fruit in the right balance.;Château Montus Prestige;95;90.0;Southwest France;Madiran;;Tannat;Vignobles Brumont;7.9;0.32;0.51;1.8;0.341;17.0;56.0;0.9969;3.04;1.08;9.2;6;19
14;14;US;With its sophisticated mix of mineral, acid and tart fruits, this seductive effort pleases from start to finish. Supple and dense, it's got strawberry, blueberry, plum and black cherry, a touch of chocolate, and that underlying streak of mineral. All these elements are in good proportion and finish with an appealing silky texture. It's delicious already, but give it another decade for full enjoyment. Drink now through 2028.;Grace Vineyard;95;185.0;Oregon;Dundee Hills;Willamette Valley;Pinot Noir;Domaine Serene;7.6;0.39;0.31;2.3;0.0819999999999999;23.0;71.0;0.9982;3.52;0.65;9.7;5;21
15;15;US;First made in 2006, this succulent luscious Chardonnay is all about minerality. It's got a rich core of butterscotch and the seemingly endless layers of subtle flavors that biodynamic farming can bring. It spends 18 months on the lees prior to bottling. Drink now through 2028.;Sigrid;95;90.0;Oregon;Willamette Valley;Willamette Valley;Chardonnay;Bergström;7.9;0.43;0.21;1.6;0.106;10.0;37.0;0.9966;3.17;0.91;9.5;5;22
16;16;US;This blockbuster, powerhouse of a wine suggests blueberry pie and chocolate as it opens in the glass. On the palate, it's smooth and seductively silky, offering complex cedar, peppercorn and peppery oak seasonings amidst its dense richness. It finishes with finesse and spice.;Rainin Vineyard;95;325.0;California;Diamond Mountain District;Napa;Cabernet Sauvignon;Hall;8.5;0.49;0.11;2.3;0.084;9.0;67.0;0.9968;3.17;0.53;9.4;5;23
17;17;Spain;Nicely oaked blackberry, licorice, vanilla and charred aromas are smooth and sultry. This is an outstanding wine from an excellent year. Forward barrel-spice and mocha flavors adorn core blackberry and raspberry fruit, while this runs long and tastes vaguely chocolaty on the velvety finish. Enjoy this top-notch Tempranillo through 2030.;6 Años Reserva Premium;95;80.0;Northern Spain;Ribera del Duero;;Tempranillo;Valduero;6.9;0.4;0.14;2.4;0.085;21.0;40.0;0.9968;3.43;0.63;9.7;6;24
18;18;France;Coming from a seven-acre vineyard named after the dovecote on the property, this is a magnificent wine. Powered by both fruit tannins and the 28 months of new wood aging, it is darkly rich and with great concentration. As a sign of its pedigree, there is also elegance here, a restraint which is new to this wine. That makes it a wine for long-term aging. Drink from 2022.;Le Pigeonnier;95;290.0;Southwest France;Cahors;;Malbec;Château Lagrézette;6.3;0.39;0.16;1.4;0.08;11.0;23.0;0.9955;3.34;0.56;9.3;5;25
19;19;US;This fresh and lively medium-bodied wine is beautifully crafted, with cherry blossom aromas and tangy acidity. Layered and seductive, it offers a crisp mix of orange peel, cherry, pomegranate and baking spice flavors that are ready for the table or the cellar.;Gap's Crown Vineyard;95;75.0;California;Sonoma Coast;Sonoma;Pinot Noir;Gary Farrell;7.6;0.41;0.24;1.8;0.08;4.0;11.0;0.9962;3.28;0.59;9.5;5;26
20;20;US;Heitz has made this stellar rosé from the rare Grignolino grape since 1961. Ruby grapefruit-red, it's sultry with strawberry, watermelon, orange zest and salty spice flavor, highlighted with vibrant floral aromas.;Grignolino;95;24.0;California;Napa Valley;Napa;Rosé;Heitz;7.1;0.71;0.0;1.9;0.08;14.0;35.0;0.9972;3.47;0.55;9.4;5;28
21;21;Spain;Alluring, complex and powerful aromas of grilled meat, berries, tea, smoke, vanilla and spice cover every base. An intense palate is concentrated but still elegant. Blackberry, molasses and mocha flavors finish with chocolaty oak notes, fine tannins and overall cohesion. Drink this special Rioja from 2020 through 2035.;Prado Enea Gran Reserva;95;79.0;Northern Spain;Rioja;;Tempranillo Blend;Muga;7.8;0.645;0.0;2.0;0.0819999999999999;8.0;16.0;0.9964;3.38;0.59;9.8;6;29
22;22;Spain;Tarry blackberry and cheesy oak aromas are appropriate for a wine of this size and magnitude. In the mouth, this Tinta de Toro is expansive and grabby, with bullish tannins. Slightly salty earthy accents come with core blackberry flavors and notes of baking spices and chocolate, while on the finish this is long, chocolaty, delicious and not too hard or tannic. Drink through 2023.;Termanthia;95;220.0;Northern Spain;Toro;;Tinta de Toro;Numanthia;6.7;0.675;0.07;2.4;0.089;17.0;82.0;0.9958;3.35;0.54;10.1;5;30
23;23;US;The apogee of this ambitious winery's white wine efforts, this bottling of just two barrels of Clone 5 shows focused marzipan, marcona almond and white peach notes on the nose. The palate sizzles with saltiness and a lemony acidity that cuts through its brown butter richness with finesse. The finish is luxurious and long.;Giallo Solare;95;60.0;California;Edna Valley;Central Coast;Chardonnay;Center of Effort;8.3;0.655;0.12;2.3;0.083;15.0;113.0;0.9966;3.17;0.66;9.8;5;32
24;24;US;San Jose-based producer Adam Comartin heads 1,100 feet up into the mountains to source fruit for this tremendous wine, which offers wild cherry, sage, and eucalyptus scents on the nose. Ripe black plum and strawberry fruit lead the palate, followed by acid-driven waves of juniper, pine and bay leaf, finishing with a menthol-like sensation.;R-Bar-R Ranch;95;45.0;California;Santa Cruz Mountains;Central Coast;Pinot Noir;Comartin;5.2;0.32;0.25;1.8;0.103;13.0;50.0;0.9957;3.38;0.55;9.2;5;34
25;25;New Zealand;Yields were down in 2015, but intensity is up, giving this medium-bodied, silky wine the potential to drink well through at least 2025. Hickory smoke outlines white peach before ending in a long flurry of lime zest.;Maté's Vineyard;94;57.0;Kumeu;;;Chardonnay;Kumeu River;7.8;0.645;0.0;5.5;0.086;5.0;18.0;0.9986;3.4;0.55;9.6;6;35
26;26;US;Bergström has made a Shea designate since 2003, intent on showcasing a “pretty” style of the vineyard. Here are lovely aromatics, with grape jelly, rose petals and plum in the nose, and a complex run of red fruits in the mouth. Streaks of cola, brown sugar and more come up in a generous finish.;Shea Vineyard;94;62.0;Oregon;Willamette Valley;;Pinot Noir;Bergström;7.8;0.6;0.14;2.4;0.086;3.0;15.0;0.9975;3.42;0.6;10.8;6;36
27;27;US;Focused and dense, this intense wine captures the essence of ripe raspberries. Aged in 50% new French oak, it's got a strong vein of coffee and mocha. The flavors broaden out and penetrate, finishing with highlights of cedar, cinnamon and dark chocolate. Drink now through the 2020s, but decant if you want the full expression.;Abetina;94;105.0;Oregon;Willamette Valley;Willamette Valley;Pinot Noir;Ponzi;8.1;0.38;0.28;2.1;0.066;13.0;30.0;0.9968;3.23;0.73;9.7;7;37
28;28;US;Cranberry, baked rhubarb, anise and crushed slate aromas show on the nose of this always-excellent bottling from the Franscioni family. The palate abounds with energy, driving black raspberry fruit accented with earthy loam, fennel, oregano and juniper through a compellingly round midpalate.;Garys' Vineyard;94;60.0;California;Santa Lucia Highlands;Central Coast;Pinot Noir;Roar;7.3;0.45;0.36;5.9;0.074;12.0;87.0;0.9978;3.33;0.83;10.5;5;40
29;29;US;This standout Rocks District wine brings earth shaking aromas of black-olive brine, tapenade, green olive, stargazer lilies, orange peel and crushed gravel. The smoked meat, charcuterie and blue-fruit flavors don't hold back, bringing a lovely sense of texture and detail. It's an intense wine that completely demands your attention.;The Funk Estate;94;60.0;Washington;Walla Walla Valley (WA);Columbia Valley;Syrah;Saviah;8.8;0.61;0.3;2.8;0.088;17.0;46.0;0.9976;3.26;0.51;9.3;4;41
30;30;Bulgaria;This Bulgarian Mavrud presents the nose with suggestions of dried cherry, black plum, freshly ground black pepper and a whiff of eucalyptus. In the mouth it is balanced with soft tannins mingling with dried cherry, cassis and black plum.;Bergulé;90;15.0;Bulgaria;;;Mavrud;Villa Melnik;7.5;0.49;0.2;2.6;0.332;8.0;14.0;0.9968;3.21;0.9;10.5;6;42
31;31;US;Steely and perfumed, this wine sees only 20% new French oak, remaining vibrantly fresh. Baked apple and lemon pith veer into grapefruit on the palate, with spiciness to the finish that's both brash and loud.;Babushka;90;37.0;California;Russian River Valley;Sonoma;Chardonnay;Zepaltas;8.1;0.66;0.22;2.2;0.069;9.0;23.0;0.9968;3.3;1.2;10.3;5;43
32;32;Italy;Underbrush, scorched earth, menthol and plum steeped in spirits are some of the aromas that unfold on the glass. The big, chewy palate doles out ripe wild cherry, raspberry jam, ground pepper and licorice alongside firm, velvety tannins. You'll also detect the warmth of alcohol on the finish.;Vigna Piaggia;90;0;Tuscany;Brunello di Montalcino;;Sangiovese;Abbadia Ardenga;4.6;0.52;0.15;2.1;0.054;8.0;65.0;0.9934;3.9;0.56;13.1;4;45
33;33;France;Pale in color, this is nutty in character, with a warm and rounded hint of red fruits. The wine has a soft, while still fresh, aftertaste. It is aged in cellars in Saumur on the Loire river.;Nonpareil Trésor Rosé Brut;90;22.0;France Other;Vin Mousseux;;Sparkling Blend;Bouvet-Ladubay;7.7;0.935;0.43;2.2;0.114;22.0;114.0;0.997;3.25;0.73;9.2;5;46
34;34;US;The aromas entice with notes of wet stone, honeysuckle, chamomile and stone fruit. The palate is generous in flavor and feel, showing a fine sense of balance.;Conner Lee Vineyard;90;42.0;Washington;Columbia Valley (WA);Columbia Valley;Chardonnay;Buty;8.8;0.66;0.26;1.7;0.074;4.0;23.0;0.9971;3.15;0.74;9.2;5;50
35;35;Italy;Forest floor, tilled soil, mature berry and a whiff of new leather combine on this. The ripe palate offers fleshy black cherry, dried aromatic herb and tobacco, while fine-grained tannins give the finish some grip. Drink 2018–2023.;Riserva;90;135.0;Tuscany;Brunello di Montalcino;;Sangiovese;Carillon;6.6;0.52;0.04;2.2;0.069;8.0;15.0;0.9956;3.4;0.63;9.4;6;51
36;36;France;Gingery spice notes accent fresh pear and melon fruit in this medium- to full-bodied wine. It's round on the palate but not flabby, with a warm, spicy finish. Drink now.;;90;60.0;Rhône Valley;Châteauneuf-du-Pape;;Rhône-style White Blend;Clos de L'Oratoire des Papes;6.6;0.5;0.04;2.1;0.068;6.0;14.0;0.9955;3.39;0.64;9.4;6;52
37;37;Italy;Aromas of forest floor, violet, red berry and a whiff of dark baking spice unfold in the glass while wild cherry, black raspberry, ground pepper and star anise drive the palate. Framed in firm, fine-grained tannins, this is a classic Tuscan red. Drink through 2020.;;90;29.0;Tuscany;Vino Nobile di Montepulciano;;Sangiovese;Avignonesi;8.6;0.38;0.36;3.0;0.081;30.0;119.0;0.997;3.2;0.56;9.4;5;53
38;38;Italy;This has a charming nose that boasts rose, violet and red berry while the juicy, easy-drinking palate offers ripe wild cherry, chopped mint, white pepper and a hint of star anise. There isn't much complexity but it is savory and balanced, with fresh acidity and supple tannins.;;90;23.0;Tuscany;Chianti Classico;;Sangiovese;Casina di Cornia;7.6;0.51;0.15;2.8;0.11;33.0;73.0;0.9955;3.17;0.63;10.2;6;54
39;39;Italy;This bright, savory wine delivers aromas and flavors of juicy wild cherry, black raspberry, violet, white pepper and mocha. Polished tannins provide the framework. Enjoy through 2020.;Riserva;90;29.0;Tuscany;Chianti Classico;;Red Blend;Castello di Monterinaldi;10.2;0.42;0.57;3.4;0.07;4.0;10.0;0.9971;3.04;0.63;9.6;5;56
40;40;Spain;Earthy plum and cherry aromas score points for being clear and direct. The palate on this varietal Mencía is round, smooth and just right. Lightly briny, earthy plum and cherry flavors hold steady on the finish, with a dash of saltiness.;Amandi;90;17.0;Galicia;Ribeira Sacra;;Mencía;Don Bernardino;7.8;0.59;0.18;2.3;0.076;17.0;54.0;0.9975;3.43;0.59;10.0;5;58
41;41;Spain;This comes across wide and expansive as it lazily exudes oily aromas of hazelnut and toffee. A plump palate is not overly cutting or demanding, while flavors of lightly salted nuts and buttered toast end with toffee and peanut flavors.;Alfonso Oloroso Seco;90;26.0;Andalucia;Jerez;;Palomino;González Byass;7.3;0.39;0.31;2.4;0.074;9.0;46.0;0.9962;3.41;0.54;9.4;6;59
42;42;US;This is an aromatic brooder with aromas of scorched earth, plum, dried flowers and green herbs. It's full in feel with dense, dark-fruit flavors, tightly coiled tannins and tart acids—a pleasing example of the variety.;Private Reserve;90;55.0;Idaho;;;Petite Sirah;Huston;8.8;0.4;0.4;2.2;0.079;19.0;52.0;0.998;3.44;0.64;9.2;5;60
43;43;Italy;Aromas of dark-skinned berry, rose and wild herb lead the nose. The round, juicy palate doles out ripe black cherry, fleshy raspberry, white pepper and clove while polished tannins provide a smooth, velvety framework. Enjoy through 2019.;Riserva;90;39.0;Tuscany;Chianti Classico;;Red Blend;Rignana;7.7;0.69;0.49;1.8;0.115;20.0;112.0;0.9968;3.21;0.71;9.3;5;61
44;44;France;Dark in color and in flavor profile, this medium-bodied Cornas boasts aromas and flavors reminiscent of chocolate fudge, espresso and plummy fruit, all framed by soft, dusty tannins. Drink now–2025.;Coteaux;90;69.0;Rhône Valley;Cornas;;Syrah;Tardieu-Laurent;7.0;0.735;0.05;2.0;0.081;13.0;54.0;0.9966;3.39;0.57;9.8;5;63
45;45;Italy;A blend of 90% Sangiovese and 10% Canaiolo, this opens with aromas of violet, mature plum, espresso and a whiff of forest floor. The firm palate offers dried black cherry, ground pepper, toast and clove while packed, fine-grained tannins provide support. Drink through 2020.;Vigneto Odoardo Beccari Riserva;90;30.0;Tuscany;Chianti Classico;;Red Blend;Vignavecchia;7.2;0.725;0.05;4.65;0.086;4.0;11.0;0.9962;3.41;0.39;10.9;5;64
46;46;Italy;Sunbaked earth, ripe berry, baking spice and a whiff of menthol meld in the glass. The juicy palate offers red cherry, pomegranate, star anise, mocha and a hint of tobacco alongside fine-grained tannins.;Poggio alle Mura;90;90.0;Tuscany;Brunello di Montalcino;;Sangiovese;Banfi;7.2;0.725;0.05;4.65;0.086;4.0;11.0;0.9962;3.41;0.39;10.9;5;65
47;47;US;Blended with 9% Malbec, 9% Cabernet Franc and 5% Petit Verdot, this is a perennial classic for the winery, the sister brand of Cuvaison. Juicy in cherry and cassis, it sustains big, pillowy tannins and tar, suggesting more time for the fruit to match up with the structure. Drink through 2020.;Estate Grown;90;60.0;California;Mount Veeder;Napa;Cabernet Sauvignon;Brandlin;6.6;0.705;0.07;1.6;0.076;6.0;15.0;0.9962;3.44;0.58;10.7;5;67
48;48;Italy;Ripe dark-skinned berry, forest floor and cooking spice aromas lead the nose along with a whiff of new leather. The chewy palate offers fleshy black cherry, cinnamon, vanilla and a hint of tobacco while polished tannins provide the framework. This is already accessible so no need to cellar it for years. Best through 2021.;;90;50.0;Tuscany;Brunello di Montalcino;;Sangiovese;Brunelli Martoccia;8.0;0.705;0.05;1.9;0.074;8.0;19.0;0.9962;3.34;0.95;10.5;6;69
49;49;US;The aromas of blue fruit, herbs and spice are initially under tight restraint. The flavors are full, with the tannins simultaneously firm and fine grained. It shows good length.;;90;40.0;Washington;Red Mountain;Columbia Valley;Cabernet Sauvignon;Canvasback;7.7;0.69;0.22;1.9;0.084;18.0;94.0;0.9961;3.31;0.48;9.5;5;72
50;50;Italy;This robust red opens with aromas of espresso, plum cake, toast and dark spice. The hearty palate offers blackberry jam, licorice, vanilla and mocha alongside firm fine-grained tannins. A coffee note closes the finish.;Riserva;90;100.0;Tuscany;Brunello di Montalcino;;Sangiovese;Capanne Ricci;8.3;0.675;0.26;2.1;0.084;11.0;43.0;0.9976;3.31;0.53;9.2;4;73
51;51;France;This structured, complex Chardonnay is packed with minerality and considerable weight. The tight texture and almost tannic character will soften over the next few months. Full of potential, it's drinkable now but will be so much better from 2017.;;90;68.0;Burgundy;Chassagne-Montrachet;;Chardonnay;Chartron et Trébuchet;8.8;0.41;0.64;2.2;0.093;9.0;42.0;0.9986;3.54;0.66;10.5;5;76
52;52;France;This ripe, full-bodied wine has ripe green fruits that are lifted by lime and made richer by apricot. Still young, with a concentrated structure, it's going to develop into a full, beautifully fruity wine. The name of the wine means the size of a parcel that demands the work of seven men for a day. Drink from 2017.;Les 7 Hommes;90;42.0;Loire Valley;Sancerre;;Sauvignon Blanc;Cherrier Frères;6.8;0.785;0.0;2.4;0.104;14.0;30.0;0.9966;3.52;0.55;10.7;6;77
53;53;France;With its light color and cool feel, this well-balanced wine comes from a parcel of 30-year-old vines. The smoky tannins and intense acidity give a wine that will develop well and slowly. It's still young with its red-berry fruits and fresh aftertaste. Drink from 2018.;L'Inédit;90;28.0;Loire Valley;Coteaux du Giennois;;Pinot Noir;Clement et Florian Berthier;6.7;0.75;0.12;2.0;0.086;12.0;80.0;0.9958;3.38;0.52;10.1;5;78
54;54;US;There's a lot to like in this nicely priced white, a blend of several regional vineyards. A taste of hazelnut expands on the palate to meet creamy Tahitian vanilla. Approachably round, this crowd-pleasing wine finishes in measured, integrated oak.;;90;18.0;California;Russian River Valley;Sonoma;Chardonnay;De Loach;8.3;0.625;0.2;1.5;0.08;27.0;119.0;0.9972;3.16;1.12;9.1;4;79
55;55;US;A blend of Cabernet from Grand Ciel (31%), Ciel du Cheval (30%), Upchurch (28%) and Klipsun (11%) vineyards, wood spice aromas start out up front. The cherry flavors are light and elegant, with the tannins bringing some grip.;Four Flags;90;69.0;Washington;Red Mountain;Columbia Valley;Cabernet Sauvignon;DeLille;6.2;0.45;0.2;1.6;0.069;3.0;15.0;0.9958;3.41;0.56;9.2;5;80
56;56;France;Delicious while also young and textured, this wine comes from biodynamically grown grapes. It has a strong sense of minerality as well as intense citrus and green fruits. It's tight at the moment and needs to round out, so drink from 2018.;Le Pavé;90;0;Loire Valley;Sancerre;;Sauvignon Blanc;Domaine Vacheron;7.4;0.5;0.47;2.0;0.086;21.0;73.0;0.997;3.36;0.57;9.1;5;82
57;57;US;While exuberantly fruity, almost tropical on the nose, there's a crystalline edge to this dry Riesling that renders it especially refreshing. It's vibrant and light footed, brightened by a lingering honey note on the finish.;Reserve;90;25.0;New York;Finger Lakes;Finger Lakes;Riesling;Dr. Konstantin Frank;6.3;0.3;0.48;1.8;0.069;18.0;61.0;0.9959;3.44;0.78;10.3;6;84
58;58;US;Cabernet makes up just over half of this blend. Aromas of black cherries, herbs and minerals are followed by plush-feeling dark-fruit flavors and backed by firm tannins. Drink now.;Final Final;90;30.0;Washington;Columbia Valley (WA);Columbia Valley;Cabernet Sauvignon-Syrah;Efeste;6.9;0.55;0.15;2.2;0.076;19.0;40.0;0.9961;3.41;0.59;10.1;5;85
59;59;Italy;This savory blend of 40% Merlot, 30% Cabernet Sauvignon, 25% Cabernet Franc and 5% Syrah opens with aromas of roasted coffee bean, leather, tobacco and dark woodland berry. The chewy palate offers juicy plum, cassis and clove alongside polished tannins. Drink through 2019.;Poggio Bestiale;90;60.0;Tuscany;Maremma Toscana;;Red Blend;Fattoria di Magliano;8.6;0.49;0.28;1.9;0.11;20.0;136.0;0.9972;2.93;1.95;9.9;6;86
60;60;Argentina;Concentrated, ripe blackberry and cassis aromas come with peppery spice and cedary oak notes. This is big and generous on the palate, with roasted, well-oaked blackberry flavors. A touch of heat lends sizzle to the finish. Drink through 2020.;The Apple Doesn't Fall Far From The Tree;91;30.0;Mendoza Province;Mendoza;;Malbec;Matias Riccitelli;7.7;0.49;0.26;1.9;0.062;9.0;31.0;0.9966;3.39;0.64;9.6;5;87
61;61;Australia;Moorooduc's estate Pinot Noir is a solid value among the boutique offerings from the Mornington Peninsula. There's a supple cushioning of flesh wrapped around a firm backbone of acid, while the flavors run from black cherry and mint through earthier notes of brown sugar and roasted parsnip. Drink now through 2020.;;91;36.0;Victoria;Mornington Peninsula;;Pinot Noir;Moorooduc;9.3;0.39;0.44;2.1;0.107;34.0;125.0;0.9978;3.14;1.22;9.5;5;88
62;62;Argentina;Smoky aromas of fresh-cut wood blend with berry and cassis form a welcoming, generous bouquet. This feels lively on the palate, albeit tartaric. Oaky plum, cassis and vanilla flavors finish full and agreeable. Drink through 2019.;Alegoría Gran Reserva;91;25.0;Mendoza Province;Mendoza;;Malbec;Navarro Correas;7.0;0.62;0.08;1.8;0.076;8.0;24.0;0.9978;3.48;0.53;9.0;5;89
63;63;France;L'Homme Mort is a northern extension of the Fourchaume Premier Cru vineyard, so called because this was where a local lord dispensed justice by death. It often produces cooler wines such as this. It is tight, with toasted bread hints and with a strongly tangy character. It does need to develop and shouldn't be drunk before 2018.;L'Homme Mort Premier Cru;91;45.0;Burgundy;Chablis;;Chardonnay;Domaine Chenevières;7.9;0.52;0.26;1.9;0.079;42.0;140.0;0.9964;3.23;0.54;9.5;5;90
64;64;Portugal;This is a super-ripe, still very young wine. It's showing all its concentrated fruits, wood aging flavors and dense texture as well as the firm tannins that will allow it to age. With its combination of black plum skin, blackberry and dark concentration, leave the wine until 2018.;;91;23.0;Alentejano;;;Portuguese Red;Herdade do Rocim;8.6;0.49;0.28;1.9;0.11;20.0;136.0;0.9972;2.93;1.95;9.9;6;91
65;65;US;Fresh boysenberries and a blueberry sorbet character mix with notes of minty tarragon, dill and hot gravel on the nose of this wine, from an area between Gilroy and Morgan Hill. Peppercorns are prominent on the relatively light palate, along with tobacco, espresso and boysenberry.;Estate Select;91;36.0;California;Santa Clara Valley;Central Coast;Syrah;Jason-Stephens;7.7;0.49;0.26;1.9;0.062;9.0;31.0;0.9966;3.39;0.64;9.6;5;93
66;66;France;The steely character of a young Chablis is very apparent in this wine. It is crisp, lemon flavored and with a mineral edge. The wine has a juicy freshness, still young at heart and needing to age. Drink from 2018.;Fourchaume Premier Cru;91;38.0;Burgundy;Chablis;;Chardonnay;Louis Max;5.0;1.02;0.04;1.4;0.045;41.0;85.0;0.9938;3.75;0.48;10.5;4;94
67;67;US;From the producer's monumental Atlas Peak vineyard, this is a tightly wound, solidly constructed mountain Cab, blended with a handful of Petit Verdot. Tobacco, black tea and a sliver of coconut intermingle around a medium-bodied whole that will benefit from cellaring, through 2021.;Animo;91;85.0;California;Napa Valley;Napa;Cabernet Sauvignon;Michael Mondavi Family Estate;6.8;0.775;0.0;3.0;0.102;8.0;23.0;0.9965;3.45;0.56;10.7;5;96
